scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,amc_name,rating,sub_category,returns_1yr,Average_Returns,risk_level_2,risk_level_3,risk_level_4,risk_level_5,risk_level_6,category_Equity,category_Hybrid,category_Other,category_Solution Oriented
ICICI Pru S&P BSE Sensex Index Fund,100,100,0.16,694.0,6,Kayzad Eghlim,3.24,-1.12,16.97,1,1.27,ICICI Prudential Mutual Fund,4,Index Funds,1.4,13.366666666666667,False,False,False,False,True,False,False,True,False
ICICI Pru Savings Fund,100,100,0.4,21144.0,10,Rahul Goswami,2.65,3,1.3,0.87,1.41,ICICI Prudential Mutual Fund,2,Low Duration Funds,5.7,6.2,True,False,False,False,False,False,False,False,False
ICICI Pru Short Term Fund,1000,5000,0.39,14561.0,10,Manish Banthia,3.78,4.86,1.7,1.42,1.75,ICICI Prudential Mutual Fund,4,Short Duration Funds,6.4,7.2,False,True,False,False,False,False,False,False,False
ICICI Pru Smallcap Fund,100,5000,0.81,4618.0,10,Harish Bihani,4.72,8.49,18.41,0.82,1.94,ICICI Prudential Mutual Fund,3,Small Cap Mutual Funds,7.7,21.46666666666667,False,False,False,False,True,True,False,False,False
ICICI Pru Technology Fund,100,5000,0.99,8993.0,10,Vaibhav Dusad,2.41,9.3,23.4,0.92,1.48,ICICI Prudential Mutual Fund,0,Sectoral / Thematic Mutual Funds,-19.7,15.733333333333334,False,False,False,False,True,True,False,False,False
ICICI Pru Thematic Advantage Fund,1000,5000,0.25,958.0,10,Dharmesh Kakkad,4.13,6.63,18.22,0.98,1.63,ICICI Prudential Mutual Fund,0,FoFs Domestic,5.4,18.466666666666665,False,False,False,False,True,False,False,True,False
ICICI Pru Ultra Short Term Fund,1000,5000,0.39,12447.0,10,Manish Banthia,4.76,2.36,0.68,0.54,2.4,ICICI Prudential Mutual Fund,4,Ultra Short Duration Funds,5.7,6.1000000000000005,False,True,False,False,False,False,False,False,False
ICICI Pru US Bluechip Equity Fund,100,5000,1.22,2365.0,10,Rohan Maru,1.69,-,19.18,-,0.88,ICICI Prudential Mutual Fund,0,Sectoral / Thematic Mutual Funds,4.8,14.700000000000001,False,False,False,False,True,True,False,False,False
ICICI Pru Value Discovery Fund,100,1000,1.22,27449.0,10,Sankaran Naren,4.4,11.82,14.61,0.8,2.04,ICICI Prudential Mutual Fund,4,Value Funds,8.9,20.23333333333333,False,False,False,False,True,True,False,False,False
IDBI Banking & Financial Services Fund,500,5000,1.5,81.0,5,Alok Ranjan,1.99,-1.2,22.62,0.86,0.88,IDBI Mutual Fund,2,Sectoral / Thematic Mutual Funds,4.8,12.55,False,False,False,False,True,True,False,False,False
IDBI Credit Risk Fund,500,5000,0.61,22.0,9,Raju Sharma,3.09,3.08,6.23,-2.49,1.03,IDBI Mutual Fund,3,Credit Risk Funds,4.3,6.433333333333334,False,False,True,False,False,False,False,False,False
IDBI Dividend Yield Fund,500,5000,1.5,85.0,4,Alok Ranjan,2.79,1.29,14.28,0.81,1.43,IDBI Mutual Fund,0,Dividend Yield Funds,0.1,12.65,False,False,False,False,True,True,False,False,False
IDBI Equity Advantage Fund,500,500,1.21,455.0,10,Alok Ranjan,2.4,-1.93,14.59,0.8,1.15,IDBI Mutual Fund,2,ELSS Mutual Funds,-0.7,14.766666666666666,False,False,False,False,True,True,False,False,False
IDBI Equity Savings Fund,500,5000,1.15,9.77,10,Alok Ranjan,2.48,0.39,7.12,1.05,1.11,IDBI Mutual Fund,2,Equity Savings Mutual Funds,2.5,7.166666666666667,False,False,True,False,False,False,True,False,False
IDBI Focused 30 Equity Fund,500,5000,1.61,125.0,5,Alok Ranjan,3.11,-0.57,16.02,0.94,1.29,IDBI Mutual Fund,3,Focused Funds,0.1,11.833333333333334,False,False,False,False,True,True,False,False,False
IDBI Gold Fund,500,5000,0.26,42.0,10,Nitin Dattaram Dalvi,0.82,-0.02,16.54,1,0.42,IDBI Mutual Fund,3,FoFs Domestic,15.0,13.333333333333334,False,False,False,True,False,False,False,True,False
IDBI Healthcare Fund,500,5000,1.24,49.0,4,Alok Ranjan,1.57,-3.1,20.52,0.95,0.71,IDBI Mutual Fund,0,Sectoral / Thematic Mutual Funds,-13.0,2.0500000000000007,False,False,False,False,True,True,False,False,False
IDBI Hybrid Equity Fund,500,5000,1.67,171.0,6,Alok Ranjan,2.66,-0.86,11.4,0.78,1.18,IDBI Mutual Fund,2,Aggressive Hybrid Mutual Funds,-1.8,7.566666666666666,False,False,False,False,True,False,True,False,False
IDBI India Top 100 Equity Fund,500,5000,1.26,599.0,10,Alok Ranjan,2.94,0.51,15.82,0.93,1.36,IDBI Mutual Fund,4,Large Cap Mutual Funds,0.5,12.966666666666667,False,False,False,False,True,True,False,False,False
IDBI Liquid Fund,500,5000,0.13,763.0,10,Raju Sharma,5.73,1.43,0.36,0.75,1.19,IDBI Mutual Fund,4,Liquid Mutual Funds,5.6,5.133333333333334,True,False,False,False,False,False,False,False,False
IDBI Long Term Value Fund,500,5000,1.67,92.0,5,Alok Ranjan,2.89,1.21,16.51,0.94,1.36,IDBI Mutual Fund,2,Value Funds,-0.1,12.649999999999999,False,False,False,False,True,True,False,False,False
IDBI Midcap Fund,500,5000,1.62,176.0,6,Alok Ranjan,2.57,-5.96,17.76,0.97,1.27,IDBI Mutual Fund,1,Mid Cap Mutual Funds,-2.9,9.966666666666667,False,False,False,False,True,True,False,False,False
IDBI Nifty 50 Index Fund,500,5000,0.32,188.0,10,Nisha Sharma,3.47,-0.9,16.78,1,1.29,IDBI Mutual Fund,3,Index Funds,0.8,12.800000000000002,False,False,False,False,True,False,False,True,False
IDBI Nifty Next 50 Index Fund,500,5000,0.32,49.0,10,Nisha Sharma,1.71,-4.78,18.03,0.98,0.96,IDBI Mutual Fund,1,Index Funds,-6.1,7.300000000000001,False,False,False,False,True,False,False,True,False
IDBI Short Term Bond Fund,500,5000,0.28,29.0,10,Raju Sharma,3.22,3.82,5,-0.57,0.92,IDBI Mutual Fund,4,Short Duration Funds,4.1,6.8,True,False,False,False,False,False,False,False,False
IDBI Small Cap Fund,500,5000,1.54,143.0,6,Alok Ranjan,4.09,8.16,16.34,0.71,1.95,IDBI Mutual Fund,3,Small Cap Mutual Funds,2.1,17.733333333333334,False,False,False,False,True,True,False,False,False
IDBI Ultra Short Term Fund,500,5000,0.25,198.0,10,Raju Sharma,1.68,1.14,0.72,0.15,1.29,IDBI Mutual Fund,3,Ultra Short Duration Funds,5.4,5.466666666666666,True,False,False,False,False,False,False,False,False
IIFL Dynamic Bond Fund,1000,10000,0.27,494.0,10,Milan Mody,1.63,1.61,1.86,0.6,0.96,IIFL Mutual Fund,4,Dynamic Bond,3.3,5.266666666666667,False,True,False,False,False,False,False,False,False
IIFL Focused Equity Fund,1000,1000,0.9,3416.0,8,Mayur Patel,3.39,3.78,16.2,0.91,1.56,IIFL Mutual Fund,5,Focused Funds,4.7,17.333333333333332,False,False,False,False,True,True,False,False,False
IIFL Liquid Fund,1000,5000,0.2,601.0,9,Milan Mody,0.19,0.87,0.39,0.64,0.04,IIFL Mutual Fund,2,Liquid Mutual Funds,5.5,4.733333333333333,False,True,False,False,False,False,False,False,False
Indiabulls Arbitrage Fund,1000,500,0.58,14.0,8,Sumit Bhatnagar,-1.04,0.18,0.67,0.54,-0.82,Indiabulls Mutual Fund,2,Arbitrage Mutual Funds,4.3,4.033333333333333,False,False,False,False,False,False,True,False,False
Indiabulls Bluechip Fund,500,500,1.27,91.0,10,Sumit Bhatnagar,2.23,-3.4,16.22,0.94,1.1,Indiabulls Mutual Fund,2,Large Cap Mutual Funds,2.0,10.933333333333332,False,False,False,False,True,True,False,False,False
Indiabulls Dynamic Bond Fund,500,500,0.36,25.0,4,Karan Singh,0.99,0.95,2.04,0.84,0.58,Indiabulls Mutual Fund,3,Dynamic Bond,4.2,4.7,False,True,False,False,False,False,False,False,False
Indiabulls Equity Hybrid Fund,500,500,1.55,32.0,4,Sumit Bhatnagar,2.77,0.47,12.71,0.87,1.29,Indiabulls Mutual Fund,3,Aggressive Hybrid Mutual Funds,3.2,11.85,False,False,False,True,False,False,True,False,False
Indiabulls Liquid Fund,500,500,0.22,212.0,10,Karan Singh,1.28,0.95,0.36,0.63,0.28,Indiabulls Mutual Fund,1,Liquid Mutual Funds,5.4,4.866666666666667,True,False,False,False,False,False,False,False,False
Indiabulls Overnight Fund,500,500,0.18,42.0,4,Karan Singh,-1.77,0.4,0.33,0.39,-0.36,Indiabulls Mutual Fund,1,Overnight Mutual Funds,5.2,4.5,False,False,False,False,False,False,False,False,False
Indiabulls Short Term Fund,500,500,0.38,25.0,10,Karan Singh,1.15,4.88,1.55,2.83,0.7,Indiabulls Mutual Fund,2,Short Duration Funds,4.4,5.133333333333334,False,True,False,False,False,False,False,False,False
Indiabulls Tax Savings Fund,500,500,0.5,36.0,5,Sumit Bhatnagar,2.52,-2.36,15.09,0.88,1.21,Indiabulls Mutual Fund,2,ELSS Mutual Funds,1.0,10.366666666666667,False,False,False,False,True,True,False,False,False
Indiabulls Value Fund,500,500,0.5,9.71,8,Sumit Bhatnagar,2.9,-0.23,16.23,0.92,1.27,Indiabulls Mutual Fund,2,Value Funds,-0.2,10.566666666666668,False,False,False,False,True,True,False,False,False
Invesco India – Invesco GEI Fund,500,1000,0.73,12.0,9,Amit Nigam,1.58,-,17.74,-,1.01,Invesco Mutual Fund,0,FoFs Overseas,9.5,14.466666666666667,False,False,False,False,True,False,False,True,False
Invesco India Arbitrage Fund,500,1000,0.38,3184.0,10,Deepak Gupta,2.16,1.77,0.71,0.53,1.5,Invesco Mutual Fund,5,Arbitrage Mutual Funds,6.4,5.666666666666667,False,False,False,False,False,False,True,False,False
Invesco India Banking & PSU Debt Fund,1000,1000,0.28,131.0,10,Vikas Garg,0.33,4.59,3.47,2.79,0.25,Invesco Mutual Fund,1,Banking and PSU Mutual Funds,2.3,4.833333333333333,False,True,False,False,False,False,False,False,False
Invesco India Contra Fund,500,1000,0.62,9347.0,10,Taher Badshah,3.5,2.27,16.24,0.94,1.45,Invesco Mutual Fund,4,Contra Funds,2.8,14.233333333333334,False,False,False,False,True,True,False,False,False
Invesco India Corporate Bond Fund,100,1000,0.28,2065.0,10,Vikas Garg,1.56,1.51,1.86,0.67,0.91,Invesco Mutual Fund,3,Corporate Bond Mutual Funds,3.7,5.666666666666667,True,False,False,False,False,False,False,False,False
Invesco India Credit Risk Fund,1000,1000,0.28,129.0,9,Vikas Garg,2.95,9.17,2.89,4.76,0.97,Invesco Mutual Fund,2,Credit Risk Funds,4.4,4.633333333333334,True,False,False,False,False,False,False,False,False
Invesco India Dynamic Equity Fund,500,1000,0.95,612.0,10,Amit Ganatra,2.84,0.76,9.2,0.59,1.27,Invesco Mutual Fund,2,Dynamic Asset Allocation or Balanced Advantage,3.9,8.9,False,False,False,False,True,False,True,False,False
Invesco India Equity & Bond Fund,500,1000,0.76,378.0,5,Dhimant Kothari,2.71,1.1,10.94,0.71,1.29,Invesco Mutual Fund,2,Aggressive Hybrid Mutual Funds,1.5,9.45,False,False,False,False,True,False,True,False,False
Invesco India Equity Savings Fund,500,1000,0.73,132.0,4,Dhimant Kothari,1.9,0.17,5.58,0.82,1.08,Invesco Mutual Fund,2,Equity Savings Mutual Funds,1.2,5.3999999999999995,False,False,True,False,False,False,True,False,False
Invesco India Financial Services Fund,100,1000,1.08,472.0,10,Hiten Jain,2.16,1.74,21.36,0.8,1,Invesco Mutual Fund,3,Sectoral / Thematic Mutual Funds,5.9,13.133333333333333,False,False,False,False,True,True,False,False,False
Invesco India Gilt Fund,100,1000,0.48,22.0,10,Vikas Garg,0.08,-0.44,2.51,0.54,0.06,Invesco Mutual Fund,1,Gilt Mutual Funds,4.9,5.266666666666667,True,False,False,False,False,False,False,False,False
Invesco India Gold Fund,500,1000,0.16,59.0,10,Krishna Cheemalapati,1.22,0.29,14.79,1.03,0.51,Invesco Mutual Fund,4,FoFs Domestic,13.2,12.633333333333333,False,False,False,True,False,False,False,True,False
Invesco India Growth Opportunities Fund,100,1000,0.66,3665.0,10,Amit Ganatra,2.85,0.23,15.03,0.84,1.3,Invesco Mutual Fund,3,Large & Mid Cap Funds,0.8,11.533333333333333,False,False,False,False,True,True,False,False,False
Invesco India Infrastructure Fund,500,1000,1.08,445.0,10,Amit Nigam,3.6,8.67,17.74,0.61,1.59,Invesco Mutual Fund,5,Sectoral / Thematic Mutual Funds,8.9,18.900000000000002,False,False,False,False,True,True,False,False,False
Invesco India Largecap Fund,100,1000,0.81,724.0,10,Amit Nigam,2.62,-0.23,16.09,0.92,1.28,Invesco Mutual Fund,4,Large Cap Mutual Funds,-1.8,11.1,False,False,False,False,True,True,False,False,False
Invesco India Liquid Fund,500,1000,0.15,6434.0,10,Krishna Cheemalapati,4.13,1.31,0.37,0.75,0.83,Invesco Mutual Fund,3,Liquid Mutual Funds,5.6,5.066666666666666,True,False,False,False,False,False,False,False,False
Invesco India Medium Duration Fund,1000,1000,0.4,306.0,2,Vikas Garg,-,-,-,-,-,Invesco Mutual Fund,2,Medium Duration Funds,3.5,3.5,False,True,False,False,False,False,False,False,False
Invesco India Midcap Fund,500,1000,0.72,2618.0,10,Pranav Gokhale,3.31,-0.38,15.97,0.86,1.56,Invesco Mutual Fund,3,Mid Cap Mutual Funds,0.2,16.1,False,False,False,False,True,True,False,False,False
Invesco India Money Market Fund,1000,1000,0.22,2294.0,10,Krishna Cheemalapati,1.82,3.07,0.8,1.61,1.14,Invesco Mutual Fund,2,Money Market Funds,5.0,5.3,True,False,False,False,False,False,False,False,False
Invesco India Multicap Fund,500,1000,0.65,2347.0,10,Pranav Gokhale,2.86,2.38,16.67,0.91,1.43,Invesco Mutual Fund,0,Multi Cap Funds,1.4,13.133333333333333,False,False,False,False,True,True,False,False,False
Invesco India Overnight Fund,100,1000,0.09,337.0,3,Krishna Cheemalapati,-0.3,0.55,0.35,0.42,-0.06,Invesco Mutual Fund,3,Overnight Mutual Funds,5.3,4.55,False,False,False,False,False,False,False,False,False
Invesco India PSU Equity Fund,500,1000,0.96,394.0,10,Dhimant Kothari,2.73,3.08,18.45,0.66,1.19,Invesco Mutual Fund,0,Sectoral / Thematic Mutual Funds,16.2,18.433333333333334,False,False,False,False,True,True,False,False,False
Invesco India Short Term Fund,1000,1000,0.35,350.0,10,Vikas Garg,1.31,4.41,1.93,2.19,0.76,Invesco Mutual Fund,2,Short Duration Funds,3.9,5.633333333333333,True,False,False,False,False,False,False,False,False
Invesco India Smallcap Fund,500,1000,0.78,1400.0,4,Taher Badshah,3.38,3.51,18.25,0.82,1.7,Invesco Mutual Fund,3,Small Cap Mutual Funds,3.5,19.05,False,False,False,False,True,True,False,False,False
Invesco India Tax Plan – Direct Growth,500,500,0.92,1833.0,10,Amit Nigam,2.21,-2.63,16.3,0.94,1.19,Invesco Mutual Fund,3,ELSS Mutual Funds,-5.2,9.333333333333334,False,False,False,False,True,True,False,False,False
Invesco India Treasury Advantage Fund,100,1000,0.32,1230.0,10,Krishna Cheemalapati,2.9,2.95,0.93,1.27,1.34,Invesco Mutual Fund,2,Low Duration Funds,4.9,5.633333333333333,True,False,False,False,False,False,False,False,False
Invesco India Ultra Short Term Fund,1000,1000,0.24,818.0,10,Krishna Cheemalapati,3.4,2.51,0.57,1.2,1.59,Invesco Mutual Fund,3,Ultra Short Duration Funds,5.4,5.5,True,False,False,False,False,False,False,False,False
ITI Arbitrage Fund,500,5000,0.22,7.04,4,Vikrant Mehta,-1.02,-0.04,0.65,0.31,-0.71,ITI Mutual Fund,1,Arbitrage Mutual Funds,3.9,3.5999999999999996,False,False,False,False,False,False,True,False,False
ITI Balanced Advantage Fund,500,5000,0.35,452.0,3,Dhimant Shah,2.56,-0.95,11.13,0.59,0.88,ITI Mutual Fund,1,Dynamic Asset Allocation or Balanced Advantage,-0.2,6.050000000000001,False,False,False,False,True,False,True,False,False
ITI Banking & PSU Debt Fund,500,5000,0.15,27.0,2,Vikrant Mehta,-,-,-,-,-,ITI Mutual Fund,5,Banking and PSU Mutual Funds,5.4,5.4,True,False,False,False,False,False,False,False,False
ITI Dynamic Bond Fund,500,5000,0.14,57.0,2,Vikrant Mehta,-,-,-,-,-,ITI Mutual Fund,5,Dynamic Bond,5.7,5.7,True,False,False,False,False,False,False,False,False
ITI Liquid Fund,500,5000,0.09,31.0,4,Vikrant Mehta,-0.02,0.63,0.37,0.47,0,ITI Mutual Fund,2,Liquid Mutual Funds,5.5,4.7,False,False,False,False,False,False,False,False,False
ITI Long Term Equity Fund,500,500,0.44,156.0,3,Dhimant Shah,3.29,0.26,15.59,0.86,1.31,ITI Mutual Fund,2,ELSS Mutual Funds,5.6,14.649999999999999,False,False,False,False,True,True,False,False,False
ITI Overnight Fund,500,5000,0.08,26.0,3,Vikrant Mehta,-1.11,0.48,0.34,0.42,-0.22,ITI Mutual Fund,1,Overnight Mutual Funds,5.2,4.5,False,False,False,False,False,False,False,False,False
ITI Small Cap Fund,500,5000,0.44,1015.0,3,Dhimant Shah,2.41,-4.78,21.23,0.95,1.27,ITI Mutual Fund,1,Small Cap Mutual Funds,6.5,17.95,False,False,False,False,True,True,False,False,False
ITI Ultra Short Duration Fund,500,5000,0.1,119.0,2,Vikrant Mehta,-,-,-,-,-,ITI Mutual Fund,2,Ultra Short Duration Funds,5.3,5.3,True,False,False,False,False,False,False,False,False
JM Arbitrage Fund,500,5000,0.36,60.0,10,Asit Bhandarkar,-0.31,0.56,0.72,0.55,-0.23,JM Financial Mutual Fund,1,Arbitrage Mutual Funds,5.4,4.533333333333334,False,False,False,False,False,False,True,False,False
JM Dynamic Bond Fund,1000,5000,0.63,43.0,10,Gurvinder Singh Wasan,1.64,1.34,1.61,0.65,0.95,JM Financial Mutual Fund,4,Dynamic Bond,4.8,5.633333333333333,True,False,False,False,False,False,False,False,False
JM Equity Hybrid Fund,500,5000,1.37,11.0,10,Asit Bhandarkar,3.79,5.95,17.44,1,1.4,JM Financial Mutual Fund,4,Aggressive Hybrid Mutual Funds,8.0,16.233333333333334,False,False,False,False,True,False,True,False,False
JM Flexicap Fund,500,5000,1.62,255.0,10,Gurvinder Singh Wasan,3.67,1.75,16.28,0.9,1.4,JM Financial Mutual Fund,4,Flexi Cap Funds,5.2,16.566666666666666,False,False,False,False,True,True,False,False,False
JM Focused Fund,500,5000,1.58,42.0,10,Gurvinder Singh Wasan,2.5,-2.98,16.71,0.93,1.08,JM Financial Mutual Fund,1,Focused Funds,3.1,10.366666666666667,False,False,False,False,True,True,False,False,False
JM Large Cap Fund,500,5000,1.8,44.0,10,Gurvinder Singh Wasan,2.94,-0.69,12.03,0.67,1.2,JM Financial Mutual Fund,5,Large Cap Mutual Funds,1.8,10.166666666666666,False,False,False,False,True,True,False,False,False
JM Liquid Fund,1000,5000,0.15,1426.0,10,Shalini Tibrewala,3.82,1.22,0.36,0.68,0.86,JM Financial Mutual Fund,4,Liquid Mutual Funds,5.6,5.033333333333334,True,False,False,False,False,False,False,False,False
JM Low Duration Fund,1000,5000,0.34,151.0,10,Shalini Tibrewala,12.57,9.03,11.61,1.19,0.64,JM Financial Mutual Fund,4,Low Duration Funds,5.1,7.300000000000001,True,False,False,False,False,False,False,False,False
JM Medium to Long Duration Fund,1000,5000,0.48,19.0,10,Gurvinder Singh Wasan,0.28,0.23,3.03,1.39,0.2,JM Financial Mutual Fund,2,Medium to Long Duration Funds,2.5,3.466666666666667,False,True,False,False,False,False,False,False,False
JM Tax Gain Fund,500,500,1.45,70.0,10,Gurvinder Singh Wasan,2.94,0.39,16.56,0.93,1.35,JM Financial Mutual Fund,3,ELSS Mutual Funds,0.9,13.299999999999999,False,False,False,False,True,True,False,False,False
JM Value Fund,500,5000,1.87,163.0,10,Gurvinder Singh Wasan,3.94,4.56,16.13,0.89,1.53,JM Financial Mutual Fund,2,Value Funds,7.7,16.333333333333332,False,False,False,False,True,True,False,False,False
Kotak Balanced Advantage Fund,1000,1000,0.48,14279.0,5,Harish Krishnan,4.01,3.56,8.76,0.56,1.59,Kotak Mahindra Mutual Fund,3,Dynamic Asset Allocation or Balanced Advantage,5.5,11.8,False,False,False,False,True,False,True,False,False
Kotak Banking and PSU Debt Fund,1000,5000,0.37,5256.0,10,Deepak Agrawal,1.87,4.03,2.03,1.45,1.03,Kotak Mahindra Mutual Fund,3,Banking and PSU Mutual Funds,4.7,6.3,False,True,False,False,False,False,False,False,False
Kotak Bluechip Fund,100,1000,0.64,5259.0,10,Harish Krishnan,3.48,1.75,15.3,0.91,1.45,Kotak Mahindra Mutual Fund,5,Large Cap Mutual Funds,3.3,14.233333333333334,False,False,False,False,True,True,False,False,False
Kotak Bond – Short Term Fund,1000,5000,0.36,12203.0,10,Deepak Agrawal,1.89,4.73,1.76,2.06,1.12,Kotak Mahindra Mutual Fund,3,Short Duration Funds,4.4,6.033333333333334,False,True,False,False,False,False,False,False,False
Kotak Bond Fund,1000,5000,0.63,1584.0,10,Abhishek Bisen,0.72,1.47,3.19,1.57,0.6,Kotak Mahindra Mutual Fund,3,Medium to Long Duration Funds,4.1,6.066666666666666,True,False,False,False,False,False,False,False,False
Kotak Corporate Bond Fund,1000,5000,0.32,8880.0,10,Deepak Agrawal,2.25,1.73,1.54,0.59,1.23,Kotak Mahindra Mutual Fund,3,Corporate Bond Mutual Funds,4.5,6.0,True,False,False,False,False,False,False,False,False
Kotak Credit Risk Fund,1000,5000,0.74,1204.0,10,Deepak Agrawal,0.42,0.82,2.92,-0.4,0.47,Kotak Mahindra Mutual Fund,2,Credit Risk Funds,1.6,4.633333333333334,False,False,False,True,False,False,False,False,False
Kotak Debt Hybrid Fund,1000,5000,0.44,1650.0,10,Devender Singhal,3.44,4.79,4.73,0.7,2.06,Kotak Mahindra Mutual Fund,5,Conservative Hybrid Mutual Funds,6.1,10.133333333333333,False,False,True,False,False,False,True,False,False
Kotak Dynamic Bond Fund,1000,5000,0.4,1992.0,10,Deepak Agrawal,1,1.66,2.95,1.32,0.69,Kotak Mahindra Mutual Fund,4,Dynamic Bond,3.9,6.1000000000000005,False,True,False,False,False,False,False,False,False
Kotak Emerging Equity Fund,100,100,0.49,23962.0,10,Pankaj Tibrewal,3.73,3.18,16.42,0.9,1.82,Kotak Mahindra Mutual Fund,4,Mid Cap Mutual Funds,6.6,18.599999999999998,False,False,False,False,True,True,False,False,False
Kotak Equity Arbitrage Fund,1000,5000,0.43,21917.0,10,Hiten Shah,1.46,1.66,0.75,0.54,1.26,Kotak Mahindra Mutual Fund,4,Arbitrage Mutual Funds,5.8,5.433333333333333,False,False,False,False,False,False,True,False,False
Kotak Equity Hybrid Fund,1000,5000,0.58,3269.0,8,Pankaj Tibrewal,3.89,7.32,11.76,0.79,1.86,Kotak Mahindra Mutual Fund,0,Aggressive Hybrid Mutual Funds,5.0,14.9,False,False,False,False,True,False,True,False,False
Kotak Equity Opportunities – Direct Growth,500,500,0.6,11608.0,10,Harsha Upadhyaya,3.43,4.72,14.62,0.84,1.64,Kotak Mahindra Mutual Fund,4,Large & Mid Cap Funds,6.2,16.3,False,False,False,False,True,True,False,False,False
Kotak Equity Savings Fund,1000,5000,1.02,2097.0,8,Devender Singhal,4.22,4.5,5.64,0.79,1.8,Kotak Mahindra Mutual Fund,4,Equity Savings Mutual Funds,6.6,10.066666666666666,False,False,True,False,False,False,True,False,False
Kotak Flexi Cap Fund,500,5000,0.68,35775.0,10,Harsha Upadhyaya,2.7,0.11,15.22,0.88,1.37,Kotak Mahindra Mutual Fund,3,Flexi Cap Funds,3.8,13.5,False,False,False,False,True,True,False,False,False
Kotak Floating Rate Fund,1000,5000,0.22,4796.0,4,Deepak Agrawal,1.86,3.79,2.35,1.03,1.02,Kotak Mahindra Mutual Fund,2,Floater Mutual Funds,4.6,5.8,True,False,False,False,False,False,False,False,False
Kotak Focused Equity Fund,1000,5000,0.51,2447.0,4,Shibani Kurian,2.85,1.39,15.69,0.9,1.44,Kotak Mahindra Mutual Fund,3,Focused Funds,0.5,13.55,False,False,False,False,True,True,False,False,False
Kotak Gilt – Invest Plan – Direct Growth,1000,5000,0.41,1699.0,10,Abhishek Bisen,0.81,1.3,3.24,0.7,0.64,Kotak Mahindra Mutual Fund,4,Gilt Mutual Funds,5.2,6.633333333333333,True,False,False,False,False,False,False,False,False
Kotak Gilt Invest – PF & Trust Plan – Direct Growth,1000,5000,0.41,1699.0,10,Abhishek Bisen,0.81,1.3,3.23,0.7,0.64,Kotak Mahindra Mutual Fund,4,Gilt Mutual Funds,5.2,6.633333333333333,True,False,False,False,False,False,False,False,False
Kotak Gold Fund,1000,5000,0.18,1406.0,10,Abhishek Bisen,1.08,-0.32,13.51,0.97,0.48,Kotak Mahindra Mutual Fund,3,FoFs Domestic,14.2,13.366666666666665,False,False,False,True,False,False,False,True,False
Kotak India EQ Contra Fund,1000,5000,0.81,1440.0,10,Shibani Kurian,3.35,4.24,15.95,0.92,1.57,Kotak Mahindra Mutual Fund,4,Contra Funds,7.3,17.066666666666666,False,False,False,False,True,True,False,False,False
Kotak India Growth Fund,0,5000,0.34,90.0,5,Devender Singhal,3.71,7.67,17.23,0.95,1.75,Kotak Mahindra Mutual Fund,0,Multi Cap Funds,4.8,18.633333333333333,False,False,False,False,True,True,False,False,False
Kotak Infrastructure & Ecoc. Reform-SP-DirGrowth,1000,5000,1.0,727.0,10,Harish Krishnan,4.55,14.15,16.65,0.6,2,Kotak Mahindra Mutual Fund,4,Sectoral / Thematic Mutual Funds,23.2,25.600000000000005,False,False,False,False,True,True,False,False,False
Kotak Liquid Fund,1000,100,0.15,33220.0,10,Deepak Agrawal,3.68,1.33,0.38,0.76,0.85,Kotak Mahindra Mutual Fund,2,Liquid Mutual Funds,5.6,5.066666666666666,False,True,False,False,False,False,False,False,False
Kotak Low Duration Fund,1000,5000,0.43,7420.0,10,Deepak Agrawal,2.67,2.9,1.3,0.78,1.43,Kotak Mahindra Mutual Fund,3,Low Duration Funds,5.4,6.166666666666667,False,True,False,False,False,False,False,False,False
Kotak Medium Term Fund,1000,5000,0.58,1934.0,9,Deepak Agrawal,0.71,2.04,3.41,0.79,0.66,Kotak Mahindra Mutual Fund,4,Medium Duration Funds,4.0,5.866666666666667,False,True,False,False,False,False,False,False,False
Kotak Money Market Fund,0,5000,0.26,14248.0,10,Deepak Agrawal,4.43,2.59,0.51,1.2,1.92,Kotak Mahindra Mutual Fund,3,Money Market Funds,5.6,5.599999999999999,False,True,False,False,False,False,False,False,False
Kotak Multi Asset Allocator FoF – Dynamic – Direct Growth,1000,5000,0.13,783.0,10,Devender Singhal,4.33,8.04,10.99,0.7,1.91,Kotak Mahindra Mutual Fund,0,FoFs Domestic,11.2,17.166666666666668,False,False,False,True,False,False,False,True,False
Kotak Overnight Fund,0,5000,0.07,8999.0,4,Deepak Agrawal,-0.1,0.56,0.35,0.42,-0.02,Kotak Mahindra Mutual Fund,3,Overnight Mutual Funds,5.4,4.65,False,False,False,False,False,False,False,False,False
Kotak Savings Fund,1000,5000,0.37,12325.0,10,Deepak Agrawal,4.14,2.57,0.58,1.12,1.85,Kotak Mahindra Mutual Fund,3,Ultra Short Duration Funds,5.5,5.633333333333333,False,True,False,False,False,False,False,False,False
Kotak Small Cap Fund,500,500,0.59,8617.0,10,Pankaj Tibrewal,4.06,8.99,18.26,0.81,1.98,Kotak Mahindra Mutual Fund,4,Small Cap Mutual Funds,-0.7,19.8,False,False,False,False,True,True,False,False,False
Kotak Tax Saver Fund,500,500,0.69,3167.0,10,Harsha Upadhyaya,3.36,4.69,14.44,0.83,1.68,Kotak Mahindra Mutual Fund,4,ELSS Mutual Funds,5.0,16.099999999999998,False,False,False,False,True,True,False,False,False
